EmpNumber,Age,Gender,EducationBackground,MaritalStatus,EmpDepartment,EmpJobRole,BusinessTravelFrequency,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,EmpJobSatisfaction,NumCompaniesWorked,OverTime,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,TotalWorkExperienceInYears,TrainingTimesLastYear,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,Sprint review,PerformanceRating
E100402,46,Male,Phd,Married,Development,SDE,Travel_Frequently,7,2,3,40,2,3,1,2,Yes,13,3,21,5,2,10,9,9,5,No,0.79,3
E100527,50,Male,Phd,Married,Development,SDE,Travel_Rarely,1,1,3,86,2,1,3,2,No,15,4,5,2,2,3,2,0,2,No,0.72,3
E100593,29,Male,Phd,Single,Development,SDE,Travel_Rarely,2,4,3,86,2,1,4,1,Yes,13,3,4,3,2,4,3,0,1,Yes,0.54,3
E100629,42,Female,Phd,Divorced,Development,SDE,Travel_Rarely,10,3,4,56,2,1,1,0,Yes,11,3,10,4,3,9,6,7,8,No,0.61,3
E100722,39,Male,Phd,Married,Development,SDE,Travel_Frequently,5,2,3,54,2,5,4,1,No,15,1,21,2,3,21,9,13,3,No,0.77,3
E100744,41,Male,Phd,Single,Development,SDE,Travel_Rarely,9,3,4,95,2,2,2,6,Yes,15,4,8,3,3,5,4,1,2,No,0.58,3
E100821,52,Male,Phd,Married,Development,SDE,Travel_Rarely,2,3,4,39,2,3,3,2,Yes,14,3,28,4,3,5,4,0,4,No,0.59,3
E100842,29,Male,Phd,Married,Development,SDE,Travel_Rarely,18,4,2,93,2,3,3,1,No,18,3,10,2,3,10,2,0,7,No,0.48,3
E100933,27,Female,Phd,Divorced,Development,SDE,Travel_Rarely,7,1,1,66,2,1,3,0,No,12,3,6,5,2,5,3,0,3,No,0.74,3
E100977,36,Male,Phd,Divorced,Development,SDE,Travel_Rarely,3,4,2,48,2,2,2,2,Yes,11,3,13,2,3,3,2,0,2,No,0.45,3
E1001041,40,Female,Phd,Single,Development,SDE,Travel_Rarely,29,2,4,86,2,1,4,0,Yes,20,4,5,2,2,4,2,2,3,No,0.92,4
E1001111,30,Female,Phd,Single,Development,SDE,Travel_Rarely,2,1,3,52,2,2,4,5,Yes,24,2,12,4,2,0,0,0,0,No,0.92,4
E1001269,31,Male,Phd,Single,Development,SDE,Non-Travel,28,3,3,46,2,1,1,0,Yes,22,1,4,0,3,3,2,1,2,Yes,0.82,4
E100657,21,Male,Phd,Single,Development,SDE,Travel_Rarely,1,3,4,100,2,1,3,1,No,17,1,3,4,4,3,2,1,0,No,0.83,4
E100799,40,Female,Phd,Married,Development,SDE,Travel_Rarely,22,3,2,78,2,2,3,6,No,22,2,20,3,3,1,0,0,0,No,0.92,4
E100285,27,Male,Phd,Married,Development,SDE,Travel_Rarely,8,1,1,40,3,1,2,9,No,12,4,6,3,3,2,2,2,2,No,0.34,2
E100681,37,Male,Phd,Married,Development,SDE,Travel_Frequently,11,2,2,53,3,1,4,1,Yes,12,3,4,3,2,4,2,1,2,No,0.27,2
E1001035,34,Female,Phd,Single,Development,SDE,Travel_Rarely,29,4,2,96,3,2,3,3,No,11,4,10,2,3,5,1,4,3,No,0.42,3
E1001040,56,Male,Phd,Married,Development,SDE,Travel_Rarely,1,4,3,81,3,4,4,7,No,11,3,30,1,2,10,7,1,1,No,0.76,3
E1001069,52,Male,Phd,Married,Development,SDE,Non-Travel,1,2,4,41,3,1,4,0,No,18,1,5,3,3,4,3,1,2,No,0.79,3
E1001071,29,Female,Phd,Married,Development,SDE,Travel_Rarely,24,4,2,66,3,2,3,4,No,12,1,11,3,2,8,7,1,1,No,0.5,3
E1001077,54,Female,Phd,Divorced,Development,SDE,Travel_Rarely,15,3,4,95,3,2,1,9,Yes,11,2,9,4,3,5,3,1,4,No,0.5,3
E1001093,50,Male,Phd,Married,Development,SDE,Travel_Rarely,2,3,3,64,3,4,3,5,No,16,4,30,3,3,4,3,0,3,No,0.8,3
E1001095,33,Male,Phd,Married,Development,SDE,Travel_Rarely,10,1,3,49,3,3,3,0,No,11,4,14,3,4,13,9,3,7,No,0.61,3
E1001106,28,Male,Phd,Single,Development,SDE,Travel_Rarely,3,4,3,46,3,1,3,6,No,17,4,5,3,2,2,2,2,1,Yes,0.48,3
E1001128,27,Male,Phd,Married,Development,SDE,Non-Travel,2,4,4,50,3,1,4,1,No,11,3,0,6,2,0,0,0,0,No,0.71,3
E1001130,44,Male,Phd,Single,Development,SDE,Travel_Rarely,3,3,4,50,3,2,2,9,No,12,4,10,2,2,5,2,2,3,No,0.73,3
E1001208,28,Female,Phd,Divorced,Development,SDE,Travel_Rarely,26,3,3,77,3,1,3,5,No,18,2,6,2,3,2,2,2,2,No,0.65,3
E1001235,41,Male,Phd,Single,Development,SDE,Travel_Rarely,1,1,4,59,3,1,1,2,Yes,13,3,20,3,3,18,13,2,17,No,0.5,3
E1001239,31,Female,Phd,Married,Development,SDE,Travel_Rarely,2,4,4,41,3,2,4,0,Yes,11,3,10,2,1,9,7,8,5,No,0.53,3
E1001274,45,Female,Phd,Divorced,Development,SDE,Travel_Rarely,9,3,4,91,3,1,4,3,No,14,4,8,2,3,5,3,0,2,No,0.59,3
E1001277,41,Male,Phd,Divorced,Development,SDE,Travel_Frequently,12,5,1,64,3,5,3,2,No,17,2,21,2,4,18,16,0,11,No,0.55,3
E100309,34,Male,Phd,Single,Development,SDE,Travel_Rarely,2,1,2,83,3,1,1,2,No,11,3,8,2,3,4,2,1,3,Yes,0.58,3
E100317,33,Male,Phd,Single,Development,SDE,Travel_Rarely,25,3,3,78,3,1,4,4,No,11,4,7,3,3,1,1,0,0,No,0.55,3
E100323,24,Male,Phd,Married,Development,SDE,Travel_Rarely,9,3,2,61,3,1,4,2,Yes,16,1,6,2,2,2,0,2,0,Yes,0.61,3
E100356,32,Male,Phd,Married,Development,SDE,Travel_Rarely,10,3,1,33,3,2,4,1,Yes,22,2,9,3,3,9,8,7,8,No,0.67,3
E100366,35,Male,Phd,Married,Development,SDE,Travel_Frequently,8,4,2,79,3,1,1,4,No,13,4,5,2,2,3,2,1,2,No,0.43,3
E100410,44,Male,Phd,Married,Development,SDE,Non-Travel,24,2,2,67,3,2,2,4,No,12,3,17,3,4,3,2,1,2,No,0.68,3
E100422,22,Female,Phd,Single,Development,SDE,Travel_Rarely,1,2,2,59,3,1,4,1,No,15,3,1,5,3,0,0,0,0,No,0.76,3
E100443,58,Female,Phd,Married,Development,SDE,Travel_Rarely,20,3,4,94,3,3,4,1,No,12,4,40,3,2,40,10,15,6,Yes,0.52,3
E100448,49,Female,Phd,Married,Development,SDE,Travel_Rarely,17,1,3,96,3,2,1,1,No,14,3,16,2,2,15,11,5,11,No,0.47,3
E100456,36,Male,Phd,Divorced,Development,SDE,Travel_Rarely,20,4,2,84,3,2,2,6,No,20,4,7,0,3,3,2,0,1,No,0.49,3
E100496,27,Male,Phd,Divorced,Development,SDE,Non-Travel,8,5,4,57,3,1,2,6,No,18,4,6,1,1,2,2,2,2,No,0.42,3
E100499,28,Male,Phd,Married,Development,SDE,Travel_Rarely,2,1,3,42,3,1,4,1,No,11,3,5,2,1,5,2,0,2,No,0.66,3
E100517,30,Male,Phd,Divorced,Development,SDE,Non-Travel,1,2,3,66,3,2,1,1,No,11,3,12,4,3,12,9,6,10,No,0.49,3
E100525,34,Female,Phd,Single,Development,SDE,Travel_Rarely,29,4,4,95,3,1,2,2,No,15,4,9,3,3,3,2,1,2,No,0.73,3
E100530,33,Female,Phd,Married,Development,SDE,Travel_Rarely,3,1,4,72,3,1,2,1,No,13,4,8,5,3,8,7,1,6,No,0.67,3
E100531,40,Female,Phd,Married,Development,SDE,Travel_Rarely,4,1,4,46,3,5,3,1,No,14,2,21,2,3,20,8,9,9,No,0.5,3
E100536,51,Female,Phd,Single,Development,SDE,Travel_Rarely,21,3,4,98,3,4,2,3,No,18,3,21,6,3,7,7,1,0,No,0.61,3
E100538,27,Female,Phd,Single,Development,SDE,Travel_Rarely,2,2,4,99,3,1,2,1,No,16,4,7,2,2,7,7,0,3,No,0.68,3
E100547,35,Female,Phd,Single,Development,SDE,Travel_Frequently,1,3,2,37,3,2,2,5,No,11,4,10,5,3,6,2,1,2,No,0.56,3
E100548,42,Female,Phd,Divorced,Development,SDE,Non-Travel,1,4,3,36,3,2,3,2,No,16,2,11,5,3,5,3,0,2,No,0.78,3
E100555,34,Male,Phd,Divorced,Development,SDE,Travel_Frequently,7,3,4,43,3,1,3,1,Yes,17,4,5,4,4,5,3,2,0,No,0.72,3
E100559,40,Male,Phd,Married,Development,SDE,Travel_Rarely,3,4,3,99,3,2,4,8,Yes,15,3,15,2,4,7,2,3,7,No,0.72,3
E100564,36,Female,Phd,Single,Development,SDE,Travel_Frequently,1,4,2,73,3,1,4,1,No,13,1,8,2,3,8,1,1,7,No,0.45,3
E100603,33,Male,Phd,Married,Development,SDE,Travel_Rarely,9,4,3,58,3,1,4,5,Yes,13,3,8,2,1,5,4,0,4,Yes,0.68,3
E100620,37,Male,Phd,Divorced,Development,SDE,Travel_Frequently,7,4,1,61,3,3,3,6,No,11,2,17,5,3,1,0,0,0,Yes,0.64,3
E100652,55,Male,Phd,Single,Development,SDE,Travel_Rarely,10,4,4,81,3,5,1,0,Yes,14,3,37,2,3,36,10,4,13,No,0.78,3
E100658,37,Female,Phd,Divorced,Development,SDE,Non-Travel,28,4,1,80,3,3,4,2,Yes,18,1,15,2,3,5,2,0,2,No,0.43,3
E100668,26,Male,Phd,Married,Development,SDE,Travel_Frequently,3,3,1,60,3,2,1,1,Yes,13,3,5,3,3,5,3,3,3,No,0.61,3
E100707,39,Male,Phd,Married,Development,SDE,Travel_Rarely,3,1,3,99,3,4,1,1,Yes,14,4,21,3,3,21,9,11,10,No,0.77,3
E100760,57,Male,Phd,Married,Development,SDE,Travel_Rarely,2,2,4,88,3,2,3,2,No,11,3,15,2,3,3,2,1,2,No,0.44,3
E100789,22,Female,Phd,Married,Development,SDE,Travel_Rarely,2,3,1,43,3,1,2,1,No,13,4,2,1,3,2,1,1,2,No,0.55,3
E100800,54,Male,Phd,Married,Development,SDE,Travel_Rarely,14,3,1,86,3,5,1,4,No,11,3,24,4,2,4,2,1,2,No,0.73,3
E100802,31,Female,Phd,Married,Development,SDE,Travel_Rarely,9,3,2,31,3,2,1,1,No,12,2,13,5,1,13,10,3,12,No,0.51,3
E100816,25,Male,Phd,Married,Development,SDE,Travel_Rarely,18,4,1,91,3,1,1,5,No,13,3,6,5,3,2,2,0,2,Yes,0.73,3
E100852,47,Female,Phd,Divorced,Development,SDE,Travel_Rarely,20,3,1,65,3,2,4,5,No,13,3,20,2,3,5,0,0,4,No,0.73,3
E100953,22,Male,Phd,Married,Development,SDE,Travel_Rarely,2,1,1,69,3,1,3,0,No,20,4,3,3,3,2,2,2,2,No,0.68,3
E1001236,36,Male,Phd,Single,Development,SDE,Travel_Rarely,11,2,3,79,3,1,3,4,No,21,3,16,6,3,11,8,3,9,No,0.85,4
E100335,30,Female,Phd,Single,Development,SDE,Travel_Frequently,8,4,3,58,3,2,4,1,No,23,4,12,2,3,12,8,3,7,No,0.86,4
E100803,43,Male,Phd,Married,Development,SDE,Travel_Frequently,2,2,4,61,3,1,4,7,No,20,1,8,1,3,3,2,1,2,No,0.96,4
E100883,42,Male,Phd,Married,Development,SDE,Travel_Rarely,10,3,4,56,3,3,1,1,Yes,21,4,10,5,2,10,9,5,8,No,0.96,4
E100958,30,Female,Phd,Divorced,Development,SDE,Travel_Frequently,29,3,3,71,3,1,3,1,No,20,3,1,2,3,1,0,0,0,No,0.93,4
E1001030,42,Male,Phd,Divorced,Development,SDE,Travel_Frequently,8,1,3,57,4,1,3,6,Yes,12,4,7,2,3,2,2,2,2,Yes,0.65,3
E1001062,23,Male,Phd,Single,Development,SDE,Travel_Rarely,6,3,1,79,4,1,3,1,No,18,4,2,3,3,2,2,0,2,No,0.42,3
E1001132,25,Male,Phd,Single,Development,SDE,Travel_Rarely,8,1,1,65,4,1,1,7,No,13,3,6,3,2,4,3,0,1,No,0.52,3
E1001143,32,Female,Phd,Married,Development,SDE,Travel_Rarely,9,4,3,91,4,2,3,5,No,12,3,9,3,2,5,3,1,3,No,0.51,3
E100292,35,Male,Phd,Married,Development,SDE,Travel_Rarely,12,4,1,84,4,1,2,0,No,13,3,6,5,3,5,4,0,3,No,0.59,3
E100449,43,Female,Phd,Single,Development,SDE,Travel_Frequently,15,3,2,72,4,1,3,4,No,12,4,18,2,3,3,2,1,2,No,0.46,3
E100890,33,Female,Phd,Divorced,Development,SDE,Travel_Rarely,25,2,1,95,4,4,3,4,No,19,3,10,2,3,6,1,0,5,No,0.64,3
E100917,24,Male,Phd,Married,Development,SDE,Travel_Rarely,6,3,2,89,4,1,4,1,Yes,11,2,6,3,3,6,5,1,4,No,0.42,3
E1001085,40,Female,Phd,Married,Development,SDE,Travel_Frequently,9,1,3,38,4,2,2,1,No,24,4,8,2,3,8,7,3,7,No,0.98,4
E100983,23,Male,Phd,Married,Development,SDE,Travel_Rarely,8,4,1,58,4,1,1,2,No,16,1,5,3,4,3,2,0,2,No,0.92,4
E100732,29,Male,Masters,Married,Development,SDE,Travel_Rarely,23,1,2,77,1,1,1,1,Yes,11,4,7,4,2,7,7,0,7,Yes,0.79,3
E100442,26,Female,Masters,Married,Development,SDE,Travel_Rarely,9,4,3,46,2,1,2,1,No,19,3,5,3,2,5,4,4,3,No,0.47,3
E100894,41,Female,Masters,Single,Development,SDE,Non-Travel,12,3,1,62,2,2,3,2,Yes,17,1,10,3,3,8,7,0,7,No,0.41,3
E100939,43,Male,Masters,Divorced,Development,SDE,Travel_Rarely,4,4,2,50,2,4,4,4,Yes,14,3,21,3,2,1,0,0,0,No,0.44,3
E100921,24,Male,Masters,Married,Development,SDE,Travel_Rarely,24,3,4,94,2,1,2,1,No,21,4,1,2,3,1,0,0,0,No,0.96,4
E1001058,33,Male,Masters,Single,Development,SDE,Travel_Rarely,12,1,4,63,3,1,4,1,Yes,13,3,10,2,2,10,9,7,8,Yes,0.79,3
E1001098,47,Female,Masters,Married,Development,SDE,Travel_Rarely,3,4,3,33,3,4,4,1,Yes,11,3,26,3,2,26,14,3,0,No,0.48,3
E1001101,36,Female,Masters,Married,Development,SDE,Travel_Rarely,10,3,3,35,3,2,2,0,No,15,1,10,2,3,9,7,0,5,No,0.57,3
E1001227,36,Male,Masters,Single,Development,SDE,Travel_Rarely,26,2,2,65,3,1,4,2,No,18,3,8,6,3,6,2,0,1,No,0.61,3
E100331,35,Male,Masters,Divorced,Development,SDE,Travel_Rarely,2,3,3,75,3,1,4,1,No,12,3,1,3,3,1,0,0,0,No,0.51,3
E100416,34,Female,Masters,Single,Development,SDE,Travel_Rarely,1,3,1,41,3,2,3,1,No,14,3,16,3,3,16,13,2,10,No,0.43,3
E100584,37,Male,Masters,Divorced,Development,SDE,Travel_Frequently,4,4,2,47,3,3,4,1,Yes,14,3,10,1,3,10,8,0,7,No,0.59,3
E100730,45,Male,Masters,Married,Development,SDE,Travel_Rarely,9,3,4,75,3,2,4,9,No,14,1,12,3,3,10,9,9,8,No,0.46,3
E100967,37,Male,Masters,Married,Development,SDE,Travel_Rarely,2,1,3,36,3,3,3,1,No,15,3,10,2,3,10,7,7,8,No,0.73,3
E1001123,35,Male,Masters,Single,Development,SDE,Travel_Rarely,4,4,3,59,3,3,3,3,No,21,2,17,3,4,8,5,1,6,No,0.96,4
E1001276,33,Female,Masters,Married,Development,SDE,Travel_Frequently,6,1,3,84,4,2,2,1,Yes,13,1,6,2,3,6,5,1,2,No,0.73,3
E100304,24,Female,Masters,Divorced,Development,SDE,Non-Travel,9,2,1,96,4,2,3,0,No,18,4,5,5,2,4,2,1,3,No,0.68,3
E100900,26,Male,Masters,Single,Development,SDE,Travel_Rarely,7,3,3,66,1,1,4,1,Yes,18,2,1,3,1,1,0,0,0,Yes,0.77,3
E1001122,27,Male,Masters,Divorced,Development,SDE,Travel_Rarely,1,3,3,42,2,3,4,1,Yes,16,2,9,3,3,9,8,0,8,No,0.46,3
E100552,27,Male,Masters,Married,Development,SDE,Travel_Frequently,10,4,3,60,2,2,1,5,No,19,3,6,1,3,2,2,2,0,No,0.53,3
E100640,32,Male,Masters,Single,Development,SDE,Travel_Rarely,7,2,4,84,2,2,1,4,No,13,4,9,5,3,6,2,0,4,No,0.54,3
E100843,29,Female,Masters,Married,Development,SDE,Travel_Rarely,3,4,3,71,2,1,2,5,No,16,2,6,2,4,2,2,1,1,Yes,0.59,3
E1001238,20,Male,Masters,Single,Development,SDE,Travel_Rarely,2,3,1,84,3,1,1,1,No,19,2,1,2,3,1,0,0,0,Yes,0.47,3
E100447,22,Male,Masters,Married,Development,SDE,Travel_Rarely,17,3,3,100,3,1,4,0,No,14,3,3,2,3,2,1,2,1,No,0.61,3
E100475,30,Female,Masters,Divorced,Development,SDE,Travel_Rarely,2,3,4,84,3,1,1,5,No,14,4,8,3,3,3,2,2,2,No,0.64,3
E100578,29,Male,Masters,Single,Development,SDE,Travel_Rarely,29,4,3,85,3,1,3,0,No,14,4,7,1,2,6,2,1,5,Yes,0.59,3
E100597,42,Male,Masters,Married,Development,SDE,Travel_Rarely,2,4,3,58,3,5,4,1,No,11,4,22,3,3,22,17,11,15,No,0.42,3
E100701,31,Male,Masters,Married,Development,SDE,Travel_Rarely,2,3,3,86,3,1,4,0,Yes,12,3,6,4,3,5,2,0,3,No,0.79,3
E100908,52,Male,Masters,Divorced,Development,SDE,Travel_Rarely,15,2,4,78,3,2,1,3,Yes,12,2,18,3,3,10,9,6,9,No,0.8,3
E100471,38,Female,Masters,Single,Development,SDE,Travel_Rarely,17,4,4,32,3,2,3,3,Yes,20,2,19,2,3,3,2,2,2,No,0.82,4
E100621,39,Female,Masters,Single,Development,SDE,Travel_Frequently,17,2,3,64,3,3,3,0,No,25,4,20,1,3,19,6,11,8,No,0.97,4
E100788,26,Male,Masters,Single,Development,SDE,Travel_Frequently,25,3,3,73,3,1,1,0,No,22,3,7,2,3,6,4,0,4,Yes,0.94,4
E100792,30,Male,Masters,Single,Development,SDE,Travel_Frequently,6,4,3,40,3,1,4,9,Yes,23,3,3,4,3,1,0,0,0,Yes,0.92,4
E100901,37,Female,Masters,Single,Development,SDE,Travel_Rarely,29,4,2,59,3,3,4,4,No,17,4,12,3,4,6,5,1,2,No,0.93,4
E1001934,50,Female,Bachelors,Divorced,Finance,Financial Advisor,Travel_Rarely,2,5,4,50,2,3,1,5,No,15,3,19,3,3,14,11,1,11,No,0.46,3
E1001939,49,Female,Bachelors,Married,Finance,Financial Advisor,Travel_Rarely,13,3,3,41,2,4,3,2,Yes,19,2,30,3,3,15,11,2,12,No,0.7,3
E1001944,43,Male,Bachelors,Married,Finance,Financial Advisor,Travel_Rarely,2,2,3,65,2,4,3,1,No,24,1,14,3,3,14,10,6,11,No,0.88,4
E1001868,29,Male,Bachelors,Divorced,Finance,Financial Advisor,Travel_Frequently,1,3,1,87,3,2,4,1,No,19,4,6,0,4,6,4,1,3,No,0.4,2
E1001937,36,Male,Bachelors,Single,Finance,Financial Advisor,Travel_Rarely,9,3,1,77,3,1,2,2,No,11,3,15,4,3,4,3,1,3,No,0.21,2
E1001892,36,Female,Bachelors,Married,Finance,Financial Advisor,Travel_Rarely,10,4,3,76,3,2,3,9,Yes,12,2,7,2,3,3,2,1,1,No,0.52,3
E1001895,49,Female,Bachelors,Married,Finance,Financial Advisor,Travel_Rarely,26,5,3,84,3,1,1,1,No,14,4,10,3,2,9,6,1,4,No,0.71,3
E1001908,35,Female,Bachelors,Married,Finance,Financial Advisor,Non-Travel,14,3,3,52,3,2,3,1,No,12,4,15,5,3,14,11,2,9,No,0.78,3
E1001909,37,Male,Bachelors,Married,Finance,Financial Advisor,Travel_Rarely,1,4,3,85,3,2,3,3,No,17,1,9,2,2,4,3,0,2,No,0.76,3
E1001919,40,Female,Bachelors,Single,Finance,Financial Advisor,Travel_Rarely,2,1,3,84,3,3,4,6,Yes,15,4,18,2,2,4,2,3,3,No,0.41,3
E1001936,34,Female,Bachelors,Divorced,Finance,Financial Advisor,Travel_Rarely,10,3,4,66,3,2,2,1,No,12,3,11,2,3,11,8,7,9,No,0.79,3
E1001960,36,Male,Bachelors,Married,Finance,Financial Advisor,Travel_Rarely,3,3,1,80,3,2,3,6,No,14,2,10,2,2,3,2,0,2,No,0.69,3
E1001970,32,Male,Bachelors,Single,Finance,Financial Advisor,Travel_Rarely,11,2,4,95,3,1,2,1,No,12,1,1,2,3,1,0,0,0,Yes,0.63,3
E1001874,35,Male,Bachelors,Married,Finance,Financial Advisor,Travel_Rarely,3,3,2,46,4,2,3,1,No,17,4,10,3,2,10,9,6,8,No,0.27,2
E1001899,35,Male,Bachelors,Married,Finance,Financial Advisor,Travel_Rarely,4,2,2,48,4,2,1,1,No,11,4,16,2,3,16,15,1,10,No,0.32,2
E1001893,34,Male,Bachelors,Divorced,Finance,Financial Advisor,Travel_Frequently,3,3,3,42,4,2,4,1,No,13,1,9,3,3,9,7,7,2,No,0.79,3
E1001931,25,Male,Bachelors,Divorced,Finance,Financial Advisor,Travel_Frequently,2,2,4,77,4,2,3,1,No,17,3,7,6,3,7,7,0,7,No,0.64,3
E1001942,36,Male,Bachelors,Divorced,Finance,Financial Advisor,Travel_Rarely,7,3,4,79,4,2,1,6,No,20,1,13,3,3,5,4,0,4,No,0.96,4
E1001889,45,Female,Phd,Single,Finance,Financial Advisor,Travel_Rarely,1,3,3,50,1,2,1,1,Yes,14,1,10,3,3,10,7,1,4,No,0.67,3
E1001900,28,Female,Phd,Divorced,Finance,Financial Advisor,Travel_Rarely,1,3,2,39,1,2,1,0,No,21,2,6,5,2,5,3,0,0,No,0.61,3
E1001887,30,Male,Phd,Married,Finance,Financial Advisor,Travel_Rarely,5,3,2,48,2,1,2,1,No,12,2,6,3,2,6,4,1,1,No,0.39,2
E1001905,39,Male,Phd,Divorced,Finance,Financial Advisor,Travel_Rarely,1,2,3,76,2,2,3,0,No,15,4,11,3,3,10,8,0,7,No,0.57,3
E1001916,38,Female,Phd,Married,Finance,Financial Advisor,Travel_Rarely,4,2,4,54,2,3,3,3,Yes,19,4,10,6,4,5,4,0,2,No,0.72,3
E1001940,36,Female,Phd,Married,Finance,Financial Advisor,Non-Travel,2,3,4,33,2,2,3,0,No,15,3,4,6,3,3,2,1,2,No,0.43,3
E1001962,23,Male,Phd,Single,Finance,Financial Advisor,Travel_Rarely,8,1,4,93,2,1,3,1,Yes,11,1,5,2,3,5,4,1,2,Yes,0.59,3
E1001884,50,Male,Phd,Married,Finance,Financial Advisor,Travel_Frequently,10,2,2,41,3,4,3,2,Yes,15,3,32,3,3,30,8,12,13,No,0.31,2
E1001886,44,Female,Phd,Divorced,Finance,Financial Advisor,Travel_Rarely,4,2,2,31,3,5,4,0,Yes,14,4,23,4,2,22,7,1,10,No,0.27,2
E1001911,39,Female,Phd,Single,Finance,Financial Advisor,Travel_Frequently,2,3,1,81,3,2,3,0,No,13,4,10,2,1,9,2,3,8,No,0.11,2
E1001918,37,Female,Phd,Married,Finance,Financial Advisor,Travel_Rarely,9,3,2,71,3,1,2,1,No,11,1,8,2,1,8,4,7,7,No,0.16,2
E1001943,54,Female,Phd,Married,Finance,Financial Advisor,Travel_Rarely,18,4,2,91,3,4,3,3,No,25,3,36,6,3,10,8,4,7,No,0.16,2
E1001882,28,Male,Phd,Married,Finance,Financial Advisor,Travel_Rarely,19,3,3,51,3,1,2,1,Yes,17,3,1,3,3,1,1,0,0,Yes,0.47,3
E1001901,21,Male,Phd,Single,Finance,Financial Advisor,Travel_Rarely,1,4,3,97,3,1,4,1,No,18,3,3,2,3,2,2,2,2,No,0.7,3
E1001926,27,Male,Phd,Single,Finance,Financial Advisor,Travel_Frequently,4,2,4,87,3,1,4,2,No,13,3,6,0,2,4,2,1,2,No,0.54,3
E1001949,32,Male,Phd,Divorced,Finance,Financial Advisor,Travel_Rarely,11,3,4,45,3,2,2,0,No,13,3,10,4,2,9,5,1,6,No,0.49,3
E1001952,49,Female,Phd,Divorced,Finance,Financial Advisor,Travel_Rarely,6,1,4,74,3,1,1,4,Yes,16,2,17,2,2,2,2,2,2,No,0.76,3
E1001965,38,Female,Phd,Married,Finance,Financial Advisor,Travel_Rarely,7,4,4,87,3,1,3,7,No,19,4,7,5,2,0,0,0,0,No,0.74,3
E1001932,39,Male,Phd,Married,Finance,Financial Advisor,Travel_Rarely,4,4,4,66,3,2,2,4,No,21,3,7,3,3,5,4,1,0,No,0.96,4
E1001971,26,Male,Phd,Single,Finance,Financial Advisor,Non-Travel,2,4,4,76,3,1,4,1,No,20,3,7,5,3,7,7,5,7,No,0.99,4
E1001967,53,Male,Phd,Married,Finance,Financial Advisor,Travel_Rarely,2,3,2,48,4,3,4,3,No,15,3,11,2,3,4,3,1,2,No,0.12,2
E1001925,27,Female,Phd,Married,Finance,Financial Advisor,Travel_Rarely,6,2,2,86,4,1,3,7,No,17,1,5,0,3,3,2,0,2,No,0.54,3
E1001883,22,Female,Masters,Married,Finance,Financial Advisor,Non-Travel,9,2,2,85,2,1,3,1,Yes,14,2,4,2,2,4,2,1,3,No,0.12,2
E1001897,27,Male,Masters,Divorced,Finance,Financial Advisor,Travel_Rarely,7,3,4,67,2,1,1,1,No,11,1,7,3,3,7,7,0,7,No,0.44,3
E1001933,49,Female,Masters,Married,Finance,Financial Advisor,Travel_Rarely,1,3,1,72,3,4,2,3,No,16,2,27,2,3,4,2,1,2,No,0.21,2
E1001885,32,Female,Masters,Married,Finance,Financial Advisor,Travel_Rarely,1,3,2,35,4,1,4,3,No,17,4,6,3,3,3,2,0,2,No,0.77,3
E1001972,55,Male,Masters,Divorced,Finance,Financial Advisor,Travel_Rarely,8,3,1,94,2,1,2,5,No,12,4,8,1,3,4,2,1,2,No,0.17,2
E1001875,34,Male,Masters,Married,Finance,Financial Advisor,Travel_Frequently,25,3,4,92,2,2,3,1,No,14,2,8,3,2,8,2,7,7,No,0.62,3
E1001924,24,Female,Masters,Single,Finance,Financial Advisor,Travel_Frequently,13,4,1,32,3,1,4,1,Yes,13,3,6,2,3,6,3,1,3,No,0.27,2
E1001870,23,Male,Masters,Married,Finance,Financial Advisor,Travel_Rarely,23,4,4,45,4,1,3,2,No,16,4,4,2,3,2,2,2,2,No,0.64,3
E1001877,43,Male,Masters,Divorced,Finance,Financial Advisor,Travel_Rarely,7,2,4,87,4,1,2,5,No,12,3,8,0,3,6,4,0,2,No,0.5,3
E1002137,29,Male,Bachelors,Divorced,Research & Development,Administrative Assistant,Travel_Rarely,10,4,4,93,1,2,3,8,No,17,4,11,3,3,7,0,1,6,No,0.71,3
E1001300,48,Male,Bachelors,Single,Research & Development,Administrative Assistant,Travel_Rarely,1,2,1,97,2,2,3,2,No,13,4,19,0,3,2,2,2,2,No,0.18,2
E1002259,24,Male,Bachelors,Single,Research & Development,Administrative Assistant,Travel_Rarely,1,3,2,45,2,2,3,1,No,12,2,4,2,2,4,3,1,2,No,0.26,2
E1001366,38,Female,Bachelors,Married,Research & Development,Administrative Assistant,Travel_Rarely,28,3,3,65,2,3,3,0,No,18,1,20,4,2,19,9,1,9,No,0.59,3
E1001396,52,Male,Bachelors,Single,Research & Development,Administrative Assistant,Travel_Rarely,25,4,2,87,3,3,2,7,No,19,4,18,4,3,8,6,4,0,No,0.37,2
E1001405,39,Male,Bachelors,Divorced,Research & Development,Administrative Assistant,Travel_Frequently,5,3,1,84,3,4,4,7,No,11,4,21,4,3,18,7,11,5,Yes,0.24,2
